role,content
assistant,"100, 'Exact match - Both terms refer to an email with matching type, hierarchy, and siblings, and matching instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: companyName; col_type: str; Instances: Allegheny Technologies, Simbiyoniks, Dominion Resources, Arad Magvot, Atmos Energy; Hierarchy: PurchaseOrder.DeliverTo.Contact.companyName; Siblings: contactName, e-mail, telephone;
#
Term B: col_name: contactName; col_type: str; Instances: Eden Barzilay, shiran elad, Rani Rahav, moshe ve banav, Ms Einat Hadar; Hierarchy: PO.Contact.contactName; Siblings: contactFunctionCode, contactEmail, contactPhone;
"
assistant,"30, 'Low match - Both terms refer to different schema hierarchies with different instance examples and suggest a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: quantity; col_type: Decimal; Instances: 21, 2, 45.66, 4, 4580.550; Hierarchy: PurchaseOrder.Items.Item.quantity; Siblings: yourPartnerNumber, unitPrice, unitOfMeasure, salesValue, partNumber, partDescription, itemNumber;
#
Term B: col_name: qty; col_type: int; Instances: 30, 1000, 10, 237, 3000; Hierarchy: PO.POLines.Item.qty; Siblings: uom, unitPrice, partNo, line;
"
assistant,"80, 'High match - Both terms refer to the same schema element with matching type, hierarchy, and siblings, despite different instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: DeliverTo; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo; Siblings: Items, InvoiceTo, Header, Footer;
#
Term B: col_name: POShipTo; col_type: none; Instances: ; Hierarchy: PO.POShipTo; Siblings: POHeader, Contact, POBillTo, POLines;
"
assistant,"50, 'Potential match - Both terms refer to delivery information with different hierarchy and no clear relation between the instances.'"
user,"50 IS NOT A VALID ANSWER, TRY AGAIN!
Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: DeliverTo; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo; Siblings: Items, InvoiceTo, Header, Footer;
#
Term B: col_name: POShipTo; col_type: none; Instances: ; Hierarchy: PO.POShipTo; Siblings: POHeader, Contact, POBillTo, POLines;
"
assistant,"40, 'Low match - Both terms refer to delivery information with different hierarchy and no clear relation between the instances, suggesting a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: itemCount; col_type: int; Instances: 15, 19, 5585, 457, 1223; Hierarchy: PurchaseOrder.Items.itemCount; Siblings: Item;
#
Term B: col_name: Item; col_type: none; Instances: ; Hierarchy: PO.POLines.Item; Siblings: startAt, count;
"
assistant,"80, 'High match - Both terms refer to the same schema element with matching type, hierarchy, and siblings, despite different instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: itemCount; col_type: int; Instances: 15, 19, 5585, 457, 1223; Hierarchy: PurchaseOrder.Items.itemCount; Siblings: Item;
#
Term B: col_name: count; col_type: int; Instances: 3, 2, 1, 4; Hierarchy: PO.POLines.count; Siblings: startAt, Item;
"
assistant,"80, 'High match - Both terms refer to the same schema element with matching type, hierarchy, and siblings, despite different instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: orderNum; col_type: str; Instances: PO937506, 5584785, PO283746, PO232477, 4587525; Hierarchy: PurchaseOrder.Header.orderNum; Siblings: orderDate, ourAccountCode, yourAccountCode, Contact;
#
Term B: col_name: poNumber; col_type: str; Instances: PO0900009, PO1300004, PO1300021, PO236597, PO1300003; Hierarchy: PO.POHeader.poNumber; Siblings: poDate;
"
assistant,"90, 'High match - Both terms refer to an order number with matching type, hierarchy, and siblings, despite different instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Address; col_type: none; Instances: ; Hierarchy: PurchaseOrder.InvoiceTo.Address; Siblings: Contact;
#
Term B: col_name: qty; col_type: int; Instances: 30, 1000, 10, 237, 3000; Hierarchy: PO.POLines.Item.qty; Siblings: uom, unitPrice, partNo, line;
"
assistant,"30, 'Low match - Both terms refer to different schema hierarchies with different names and types and no clear relation between the instances.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: e-mail; col_type: str; Instances: ayala@tamam.il, bmw@hotmail.com, shuk@gmail.com, pet.dinklage@microsoft.com, arad@hotmail.com; Hierarchy: PurchaseOrder.InvoiceTo.Contact.e-mail; Siblings: contactName, companyName, telephone;
#
Term B: col_name: contactEmail; col_type: str; Instances: marinab@hotmail.com, ranir@gmail.com, moshban@gmail.com, moshbd@hotmail.com, shirane@mail.com; Hierarchy: PO.Contact.contactEmail; Siblings: contactName, contactFunctionCode, contactPhone;
"
assistant,"100, 'Exact match - Both terms refer to an email with matching type, hierarchy, and siblings, and matching instance examples.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Items; col_type: none; Instances: ; Hierarchy: PurchaseOrder.Items; Siblings: DeliverTo, InvoiceTo, Header, Footer;
#
Term B: col_name: POLines; col_type: none; Instances: ; Hierarchy: PO.POLines; Siblings: POHeader, Contact, POShipTo, POBillTo;
"
assistant,"50, 'Potential match - Both terms refer to items information with different hierarchy and no clear relation between the instances.'"
user,"50 IS NOT A VALID ANSWER, TRY AGAIN!
Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: Items; col_type: none; Instances: ; Hierarchy: PurchaseOrder.Items; Siblings: DeliverTo, InvoiceTo, Header, Footer;
#
Term B: col_name: POLines; col_type: none; Instances: ; Hierarchy: PO.POLines; Siblings: POHeader, Contact, POShipTo, POBillTo;
"
assistant,"40, 'Low match - Both terms refer to items information with different hierarchy and no clear relation between the instances, suggesting a potential mismatch.'"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <short_explanation>' (less than 50 words). No further text is required: 

Term A: col_name: unitOfMeasure; col_type: str; Instances: mg, unit, L, g, kg; Hierarchy: PurchaseOrder.Items.Item.unitOfMeasure; Siblings: yourPartnerNumber, unitPrice, salesValue, quantity, partNumber, partDescription, itemNumber;
#
Term B: col_name: uom; col_type: str; Instances: mg, unit, g, kg, ml; Hierarchy: PO.POLines.Item.uom; Siblings: unitPrice, qty, partNo, line;
"
assistant,"80, 'High match - Both terms refer to the same schema element with matching type, hierarchy, and siblings, despite different instance examples.'"
